split,domain,id,caption,image_path,rule_label,rule_generic_mrt,bert_label,bert_top1,bert_score,bert_margin,bert_accepted,cnn_label,cnn_top1,cnn_score,cnn_margin,cnn_accepted,final_class,final_score,final_reason
train,radiology,ROCO_00023,Orthopantomograph,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00023.jpg,,False,,mrt_hirn_t1_c,0.9354814887046814,0.0005507469177246094,False,,xray,0.5222693681716919,0.049686580896377563,False,Unklar,0.0,no_evidence
train,radiology,ROCO_00024,Focal steatosis of the liver parenchyma,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00024.jpg,,False,,mrt_hirn_t1_c,0.9440154433250427,0.0002728700637817383,False,us,us,0.8644697666168213,0.7401757687330246,True,us,2.0644697666168215,fused
train,radiology,ROCO_00026,"Preoperative TTE, end diastole (preop pics).",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00026.jpg,,False,,mrt_prostata_t1,0.9621289968490601,0.00030362606048583984,False,us,us,0.9118260145187378,0.8397053852677345,True,us,2.111826014518738,fused
train,radiology,ROCO_00028,Magnetic resonance T2 weighted image showing foraminal extensions of the cysts,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00028.jpg,,True,,mrt_prostata_t2,0.9723733067512512,0.0016243457794189453,False,us,us,0.8288519978523254,0.6711515784263611,True,us,2.0288519978523256,fused
train,radiology,ROCO_00029,"Post-Treatment MRIAxial T1-weighted, contrast-enhanced image showing the same lesion as Figure 3.",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00029.jpg,,True,,mrt_hirn_t1_c,0.9837896823883057,0.002938210964202881,False,us,us,0.9276717305183411,0.867867324501276,True,us,2.1276717305183412,fused
train,radiology,ROCO_00030,Abdominal CT scan showing pancreatic pseudocyst,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00030.jpg,ct,False,,mrt_hirn_t1_c,0.9614019393920898,0.00040537118911743164,False,xray,xray,0.8430169820785522,0.6874670833349228,True,ct,2.5,fused
train,radiology,ROCO_00032,Axial contrast-enhanced computed tomography image of the abdomen 3 months after anti tuberculous treatment showing complete resolution of the lesions,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00032.jpg,ct,False,,mrt_hirn_t1_c,0.9739487767219543,0.0014277100563049316,False,,xray,0.5339766144752502,0.072970449924469,False,ct,2.5,fused
train,radiology,ROCO_00033,Lytic lesions (arrows) involving the humerus.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00033.jpg,,False,,mrt_prostata_t2,0.9570909142494202,0.0009018182754516602,False,,us,0.5377820730209351,0.08104324340820312,False,Unklar,0.0,no_evidence
train,radiology,ROCO_00034,Fluoroscopy image of EVAR procedure.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00034.jpg,xray_fluoroskopie_angiographie,False,,xray_fluoroskopie_angiographie,0.9637424945831299,0.004124879837036133,False,xray,xray,0.9519149661064148,0.9042790532112122,True,xray_fluoroskopie_angiographie,2.5,fused
train,radiology,ROCO_00035,AP pelvis X-ray obtained 6 weeks from initial presentation which shows early femoral head collapse.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00035.jpg,xray,False,,mrt_hirn_t1_c,0.9691660404205322,0.0004885196685791016,False,xray,xray,0.7885519862174988,0.5794318169355392,True,xray,4.488551986217499,fused
train,radiology,ROCO_00037,Postoperative control following periapical surgery.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00037.jpg,,False,,mrt_prostata_t2,0.9539995193481445,0.0008358955383300781,False,xray,xray,0.9790006279945374,0.9581985268741846,True,xray,2.1790006279945375,fused
train,radiology,ROCO_00038,CT image of the liver shows air in the hepatic veins (arrow) and air-contrast level in the inferior vena cava (arrowhead).,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00038.jpg,ct,False,,mrt_hirn_t1_c,0.9698737859725952,7.581710815429688e-05,False,xray,xray,0.8145209550857544,0.6315454840660095,True,ct,2.5,fused
train,radiology,ROCO_00039,SFA perforated after Glidewire insertion in an attempt to cross the lesion.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00039.jpg,,False,,xray_fluoroskopie_angiographie,0.9620459079742432,0.0020861029624938965,False,xray,xray,0.9789864420890808,0.95815241150558,True,xray,2.178986442089081,fused
train,radiology,ROCO_00040,Postoperative computed tomography scan,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00040.jpg,ct,False,,mrt_hirn_t1_c,0.9527284502983093,0.005418658256530762,False,xray,xray,0.5542487502098083,0.11583283543586731,True,ct,2.5,fused
train,radiology,ROCO_00041,"18-year-old woman with venous tumor thrombus. Axial T1W fat-saturated, postcontrast MR image of the pelvis.",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00041.jpg,,True,,mrt_prostata_t2,0.9820083975791931,0.0013518333435058594,False,xray,xray,0.8144633769989014,0.6306615471839905,True,xray,2.0144633769989015,fused
train,radiology,ROCO_00042,X-ray control of calcaneus drilling,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00042.jpg,xray,False,,xray,0.9573684334754944,0.0021061301231384277,False,us,us,0.7432799935340881,0.4951225519180298,True,xray,2.5,fused
train,radiology,ROCO_00043,Transvaginal image of the maternal pelvis demonstrating cervical length. The probe is first advanced into the anterior fornix and then slightly withdrawn so that good image quality is maintained while avoiding placing pressure on the cervix. Cervical length is measured from internal to external os. The endocervical canal is also marked and can be differentiated by its echolucency. The anterior and posterior cervical walls are of similar thickness.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00043.jpg,,False,,mrt_prostata_t2,0.9729502201080322,0.0042313337326049805,False,us,us,0.9474946856498718,0.908953782171011,True,us,2.147494685649872,fused
train,radiology,ROCO_00044,OPG showing a well defined corticated radiolucency containing two supernumerary premolars,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00044.jpg,,False,,mrt_hirn_t1_c,0.9595634937286377,0.0010935664176940918,False,xray,xray,0.9225429892539978,0.8457676619291306,True,xray,2.122542989253998,fused
train,radiology,ROCO_00045,"Computed tomography scan obtained on December 24, 2014 (7 days before treatment).Notes: Scan demonstrates a mass in the upper lobe of the left lung, multiple enlarged lymph nodes in the mediastinum, and pleural effusion; arrow indicates abundant pericardial effusion around the pericardium.",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00045.jpg,ct,False,,mrt_hirn_t1_c,0.973365843296051,0.002642214298248291,False,us,us,0.9720833897590637,0.9574700444936752,True,ct,2.5,fused
train,radiology,ROCO_00046,Coronal contrast chest CT image showing the two aberrant arteries (white arrow) arising directly from the thoracic aorta and the left lower lobe cystic lesion.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00046.jpg,ct,False,,mrt_prostata_t2,0.9731073379516602,0.002339184284210205,False,xray,xray,0.9811809062957764,0.9625243488699198,True,ct,2.5,fused
train,radiology,ROCO_00047,"Osteoid osteoma in the femur. Axial CT scan shows a nidus (arrow) within the cortex, with surrounding dense sclerosis (arrowhead)",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00047.jpg,ct,False,,mrt_hirn_t1_c,0.9685489535331726,0.00031942129135131836,False,xray,xray,0.9717977643013,0.9438340496271849,True,ct,2.5,fused
train,radiology,ROCO_00048,Mandibular occlusal view radiograph showing fusion of mandibular teeth with talon cusp with respect to 41 and 42,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00048.jpg,xray,False,,xray,0.9613661766052246,0.0022315382957458496,False,xray,xray,0.8435685634613037,0.6886336356401443,True,xray,4.543568563461304,fused
train,radiology,ROCO_00049,Intraoperative T2w MR image showing the tumor and the first BBB target,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00049.jpg,,True,,mrt_prostata_t2,0.9691593050956726,0.0005599856376647949,False,,us,0.5288728475570679,0.06343263387680054,False,Unklar,0.15,low_fusion_score
train,radiology,ROCO_00050,Free air beneath the diaphragm at abdominal x-ray film,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00050.jpg,xray,False,,xray,0.9687870740890503,0.0015966296195983887,False,xray,xray,0.7799563407897949,0.5618567913770676,True,xray,4.479956340789795,fused
train,radiology,ROCO_00051,Posteroanterior radiography immediately before reintervention showing the inferior vena caval loop of the pacemaker lead strongly attached to the endothelium. The tip of the electrode is still attached the right ventricular wall. At that time an exit block was predominantly existent.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00051.jpg,,False,,mrt_prostata_t2,0.9700363278388977,0.003121495246887207,False,xray,xray,0.9553484320640564,0.9110765568912029,True,xray,2.1553484320640566,fused
train,radiology,ROCO_00052,Après mise en place du drain thoracique,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00052.jpg,,False,,mrt_hirn_t1_c,0.929543673992157,0.0010852217674255371,False,us,us,0.6338895559310913,0.27505624294281006,True,us,1.8338895559310913,fused
train,radiology,ROCO_00053,Venography of left innominate vein using catheter introduced via right common femoral vein. The site of perforation is well seen,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00053.jpg,,False,,mrt_prostata_t2,0.9652143120765686,0.0034995675086975098,False,xray,xray,0.9791324734687805,0.9584497641772032,True,xray,2.1791324734687807,fused
train,radiology,ROCO_00054,CT spine showing a mass at level of C3 with marked osseous destruction.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00054.jpg,ct,False,,mrt_hirn_t1_c,0.9693923592567444,0.0005767345428466797,False,us,us,0.8157688975334167,0.6455622762441635,True,ct,2.5,fused
train,radiology,ROCO_00055,Destroid lung due to progressive pulmonary tuberculosis in a 16-year-old boy. CT scan (lung window) shows diffuse bilateral small and large air-filled cystic lesions (black arrows) associated with ground-glass attenuation and disseminated miliary micronodular lesions on the right (white arrows).,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00055.jpg,ct,False,,mrt_hirn_t1_c,0.9731683731079102,0.002118527889251709,False,xray,xray,0.8675104975700378,0.7362206727266312,True,ct,2.5,fused
train,radiology,ROCO_00056,View of giant cell tumor of thumb metacarpal preoperatively.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00056.jpg,,False,,mrt_prostata_t2,0.9609653949737549,0.003020644187927246,False,xray,xray,0.7133234739303589,0.4293212294578552,True,xray,1.9133234739303588,fused
train,radiology,ROCO_00057,MRI showing high signals involving the superior sagittal sinus thrombosis on TW1.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00057.jpg,,True,,mrt_prostata_t2,0.9687288403511047,0.0006397366523742676,False,xray,xray,0.709971010684967,0.4228290021419525,True,xray,1.909971010684967,fused
train,radiology,ROCO_00058,"Color Doppler echocardiography, parasternal modified short axis view. Middle LAD stenosis was incidentally found on rutine TTE. It was later confirmed by coronary angiography. See movie 13 [see Additional file 13]",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00058.jpg,xray_fluoroskopie_angiographie,False,,mrt_prostata_t2,0.9742751121520996,0.0008467435836791992,False,us,us,0.9661263823509216,0.9476106520742178,True,xray_fluoroskopie_angiographie,2.5,fused
